Date,Close,Return,RealizedVol,VIX,HY_OAS,GPR,CESI,PMI_change,PutCall,HHI,MeanCorr,f_bur,f_cat,f_sent,f_mac,f_liq,C_norm
2019-08-30,2926.459961,0.00064258,0.23258306,18.97999954,4.09,45.77669144,-11,-0.5,0.68,0.10905339,0.87617083,-0.99550368,-0.74512652,0.42790649,-0.23285987,-0.49796246,0.92739056
2019-09-03,2906.27002,-0.00692301,0.23244306,19.65999985,4.23,83.7299881,-9.4,-2.5,0.73,0.10879961,0.87992934,-0.99585674,-0.3569541,0.6772837,-0.19629365,-0.45790504,0.93132404
2019-09-04,2937.780029,0.01078373,0.20834033,17.32999992,4.23,89.65000153,-7.7,-2.5,0.68,0.10860263,0.81433521,-0.99610524,-0.27436555,0.42775674,-0.15683936,-0.4578624,0.86267628
2019-09-05,2976,0.01292591,0.20833543,16.27000046,4.07,81.0138855,7.7,-2.5,0.53,0.10885005,0.80944311,-0.99573055,-0.39309933,-0.56721107,0.2075981,-0.50339371,0.85755644
2019-09-06,2978.709961,0.00091019,0.20832938,15,4.05,81.73868561,5.4,-2.5,0.56,0.10891184,0.77262516,-0.99561168,-0.38352779,-0.3996302,0.15430653,-0.50885978,0.81902448
2019-09-09,2978.429932,-9.401e-05,0.19890372,15.27000046,3.99,72.85705566,7.6,-2.5,0.59,0.10868808,0.75074081,-0.99591276,-0.49441133,-0.20029193,0.20526765,-0.52510505,0.79612133
2019-09-10,2979.389893,0.00032225,0.19714392,15.19999981,3.9,104.8834152,7,-2.5,0.65,0.10878867,0.7322795,-0.99574205,-0.04515936,0.23292026,0.19143524,-0.54879245,0.77680059
2019-09-11,3000.929932,0.00720367,0.19201382,14.60999966,3.92,98.74863434,7,-2.5,0.54,0.10891206,0.70745225,-0.99552994,-0.13941391,-0.51537308,0.19141209,-0.54353833,0.75081753
2019-09-12,3009.570068,0.00287502,0.18608805,14.22000027,3.85,79.50162506,16.6,-2.5,0.55,0.10880867,0.70653021,-0.99566006,-0.41267297,-0.4594065,0.4001294,-0.5615119,0.74985257
2019-09-13,3007.389893,-0.00072468,0.14838171,13.73999977,3.83,70.56848907,17.4,-2.5,0.62,0.10884347,0.6092693,-0.99558102,-0.52073591,0.01727832,0.41605682,-0.56651422,0.64806382
2019-09-16,2997.959961,-0.00314051,0.1497658,14.67000008,3.8,178.9195557,18.6,-2.5,0.68,0.10863384,0.61909963,-0.995863,0.80169305,0.42821083,0.43949863,-0.57396564,0.6583518
2019-09-17,3005.699951,0.00257843,0.14342629,14.43999958,3.81,253.3421173,26.1,-2.5,0.56,0.10855246,0.56169742,-0.9959518,0.97835052,-0.39967163,0.57254352,-0.57141938,0.59827731
2019-09-18,3006.72998,0.00034263,0.13864784,13.94999981,3.82,115.3630447,38.8,-2.5,0.7,0.10852922,0.53149277,-0.9959586,0.11649438,0.54030961,0.7423075,-0.56886246,0.56666652
2019-09-19,3006.790039,1.997e-05,0.13461686,14.05000019,3.77,157.1346283,41.3,-2.5,0.67,0.10853663,0.51566572,-0.99592277,0.64389046,0.36640354,0.76794744,-0.58121676,0.55010267
2019-09-20,2992.070068,-0.0049076,0.13430772,15.31999969,3.81,126.9625244,41.7,-2.5,0.65,0.10866591,0.51028266,-0.99571154,0.28838393,0.23301422,0.77175259,-0.57125429,0.54446901
2019-09-23,2991.780029,-9.694e-05,0.13425395,14.90999985,3.84,52.58044434,44.7,-2.5,0.65,0.10850722,0.51196312,-0.99591313,-0.69460672,0.23299312,0.79916782,-0.56365746,0.5462277
2019-09-24,2966.600098,-0.00845199,0.09760743,17.04999924,3.9,103.2372055,40.9,-2.5,0.7,0.10842536,0.27391872,-0.99600094,-0.07093959,0.54025368,0.76365917,-0.54823141,0.2971015
2019-09-25,2984.870117,0.00613969,0.0933867,15.96000004,3.91,124.1142883,45.7,-2.5,0.67,0.10826567,0.25287261,-0.99618917,0.24750539,0.36627791,0.80748023,-0.5455801,0.27507561
2019-09-26,2977.620117,-0.00243187,0.09290686,16.06999969,3.95,70.66811371,44.9,-2.5,0.74,0.10819944,0.23379926,-0.99625021,-0.51995449,0.71542221,0.80059593,-0.53502421,0.25511434
2019-09-27,2961.790039,-0.00533053,0.09432348,17.21999931,3.99,88.0555954,44.3,-2.5,0.72,0.1081847,0.21821621,-0.99624467,-0.29726214,0.63584287,0.79526641,-0.52429997,0.23880584
2019-09-30,2976.73999,0.00503491,0.08607337,16.23999977,4.02,95.55484009,43,-0.4,0.67,0.10834988,0.18278293,-0.99600145,-0.18789754,0.36600849,0.78341872,-0.51613439,0.20172301
2019-10-01,2940.25,-0.01233413,0.09743979,18.55999947,4.08,90.13789368,35,-0.4,0.73,0.10837089,0.18248357,-0.99594726,-0.26751112,0.6775141,0.6973701,-0.49957052,0.20140972
2019-10-02,2887.610107,-0.0180654,0.11397854,20.55999947,4.28,69.6466217,33.1,-0.4,0.84,0.10839118,0.28665375,-0.99589354,-0.53138909,0.92640581,0.6731305,-0.44181151,0.31042939
2019-10-03,2910.629883,0.0079403,0.11087583,19.12000084,4.4,46.47735214,24.5,-0.4,0.77,0.10840991,0.39122717,-0.99584149,-0.74046449,0.80678798,0.54423658,-0.40524657,0.41987107
2019-10-04,2952.01001,0.01411679,0.11274592,17.04000092,4.38,111.2748871,23.2,-0.4,0.65,0.10850507,0.45818384,-0.99567829,0.05393091,0.23188989,0.52186161,-0.41139256,0.48994481
2019-10-07,2938.790039,-0.00448835,0.11351262,17.86000061,4.31,52.96256638,20.9,-0.4,0.7,0.10851881,0.50678972,-0.99563161,-0.69150179,0.53948119,0.48052529,-0.43269965,0.54081346
2019-10-08,2893.060059,-0.01568316,0.12484352,20.28000069,4.39,118.7773285,19,-0.4,0.65,0.10842223,0.53727219,-0.99574659,0.16887537,0.23178009,0.44467002,-0.40822497,0.572715
2019-10-09,2919.399902,0.0090633,0.12991844,18.63999939,4.32,82.4705658,17.7,-0.4,0.59,0.10839897,0.60284662,-0.99575401,-0.37386329,-0.20191297,0.41926325,-0.42960377,0.64134215
2019-10-10,2938.129883,0.0063952,0.12930641,17.56999969,4.26,165.1695709,11,-0.4,0.58,0.10838596,0.61622229,-0.99574666,0.71164494,-0.27121574,0.27852056,-0.44754728,0.6553405
2019-10-11,2970.27002,0.01087958,0.13517435,15.57999992,4.1,204.3184815,15.3,-0.4,0.56,0.10849268,0.61780014,-0.99556332,0.90477759,-0.40121662,0.37063579,-0.49371396,0.65699181
2019-10-14,2966.149902,-0.00138808,0.13519999,14.56999969,4.08,118.4822998,15.2,-0.4,,0.10853304,0.62506669,-0.99547534,0.16415139,,0.36851904,-0.49926139,0.66459664
